Size (inputs)	FFT (sec)
2	0.001049375
4	0.001228084
8	0.001389417
16	0.001904083
32	0.003030333
64	0.004499417
128	0.005664959
256	0.007121084
512	0.009014
1024	0.019611333
2048	0.047110375
4096	0.047109083
8192	0.069530416
16384	0.124249667
32768	0.259112375
65536	0.49239525
131072	0.911151417
262144	1.868708542
524288	3.276910793
1048576	7.052336129
2097152	15.191827632
4194304	33.6201612242	0.001985375
4	9.89959E-4
8	0.001316125
16	0.001716292
32	0.00278625
64	0.004343125
128	0.005529459
256	0.007850875
512	0.008098167
1024	0.0206495
2048	0.042130333
4096	0.0428305
8192	0.096223667
16384	0.129573625
32768	0.237436292
65536	0.501295375
131072	0.876678125
262144	2.089114251
524288	3.559359127
1048576	7.398829961
1048576	7.067997336
4096	0.048159417
4096	0.05218125
4096	0.046909833
