Size (inputs)	Executors	Partitions per RDD	Cores per executor	GB RAM per executor	BosCosterVariableBaseMSM (sec)
2	2	2	3	2	0.080592833
4	2	2	3	2	0.043583459
8	2	2	3	2	0.051066541
16	2	2	3	2	0.064888208
32	2	2	3	2	0.084096792
64	2	2	3	2	0.095095833
128	2	2	3	2	0.109904001
256	2	2	3	2	0.1490565
512	2	2	3	2	0.206416
1024	2	2	3	2	0.336632041
2048	2	2	3	2	0.585167542
4096	2	2	3	2	0.915561792
8192	2	2	3	2	1.751838334
16384	2	2	3	2	3.246048001
32768	2	2	3	2	5.18100296
65536	2	2	3	2	10.323381254
131072	2	2	3	2	19.282507217
262144	2	2	3	2	35.531991974
16	1	1	5	2	0.058528792
4096	2	2	3	2	0.929540917
1024	2	2	3	2	0.348584792
4096	2	2	3	2	0.88399025
4096	2	2	3	2	0.934721917
